NCTId,BriefTitle,OverallStatus,Facility,City,State,Zip,Country,SiteStatus,Latitude,Longitude
NCT06822881,CT1190B in the Treatment of Patients With Moderate to Severe Refractory Systemic Lupus Erythematosus (SLE) or Refractory/Progressive Systemic Sclerosis (SSc),RECRUITING,Beijing GoBroad Hospital,Beijing,Beijing Municipality,102200,China,RECRUITING,39.9075,116.39723
NCT06318533,A Clinical Study of CD19 CAR NK Cells for the Treatment of Relapsed/Refractory B-cell Related Autoimmune Diseases,RECRUITING,Affiliated Hospital of Jiangsu University,Zhenjiang,Jiangsu,212001,China,RECRUITING,32.21086,119.45508
NCT06318533,A Clinical Study of CD19 CAR NK Cells for the Treatment of Relapsed/Refractory B-cell Related Autoimmune Diseases,RECRUITING,Jiangsu University Affiliated Hospital,Zhenjiang,Jiangsu,212001,China,RECRUITING,32.21086,119.45508
NCT06373991,A Study to Evaluate the Safety and Efficacy of ATHENA CAR-T in Subjects With Systemic Lupus Erythematosus,NOT_YET_RECRUITING,The First Affiliated Hospital of Henan University of Science and Technology,Luoyang,Henan,471003,China,,34.67345,112.43684
NCT07303790,This is an Early Exploratory Study to Assess the Tolerability and Safety of GC012F in Patients With Multiple Sclerosis,RECRUITING,Tongji Hospital Affiliated to Tongji Medical College of Huazhong University of Science & Technology,Hubei,Hubei,430030,China,RECRUITING,,
NCT06585514,Anti-CD19 Chimeric Antigen Receptor T Cells for Refractory Systemic Lupus Erythematosus,RECRUITING,Beijing GoBroad Hospital,Beijing,Beijing Municipality,102206,China,RECRUITING,39.9075,116.39723
NCT05640271,Tocilizumab for Acute Chest Syndrome,RECRUITING,University of Chicago,Chicago,Illinois,60637,United States,RECRUITING,41.85003,-87.65005
NCT03056339,Umbilical & Cord Blood (CB) Derived CAR-Engineered NK Cells for B Lymphoid Malignancies,COMPLETED,University of Texas MD Anderson Cancer Center,Houston,Texas,77030,United States,,29.76328,-95.36327
NCT04561557,Safety and Efficacy of CT103A Cells for Relapsed/Refractory Antibody-associated Inflammatory Diseases of the Nervous System,RECRUITING,Tongji Hospital affiliated to Tongji Medical College of Huazhong University of Science and Technology,Wuhan,Hubei,430000,China,RECRUITING,30.58333,114.26667
NCT05277272,INTO-HLH: A Disease Registry for Patients With Hemophagocytic Lymphohistiocytosis (HLH),RECRUITING,Cincinnati Children's Hospital Medical Center,Cincinnati,Ohio,45229,United States,RECRUITING,39.12711,-84.51439
NCT07355972,"Safety, Efficacy and Cellular Metabolic Dynamics of CT1195E in Patients With Refractory / Progressive SSC",RECRUITING,Wuhan Union Hospita,Wuhan,Hubei,430000,China,RECRUITING,30.58333,114.26667
NCT06613490,An Exploratory Clinical Study of CD19 CAR NK Cells for the Treatment of Refractory Antisynthetase Antibody Syndrome and Rheumatoid Arthritis,RECRUITING,The First Affiliated Hospital with Nanjing Medical University,Nanjing,Jiangsu,210029,China,RECRUITING,32.06167,118.77778
NCT04422912,"A Phase 1/2, Open-label, Safety and Dosing Study of Autologous CART Cells (Desmoglein 3 Chimeric Autoantibody Receptor T Cells [DSG3-CAART] or CD19-specific Chimeric Antigen Receptor T Cells [CABA-201]) in Subjects With Active, Pemphigus Vulgaris (RESET-PV)",RECRUITING,"Stanford University, Dept. of Dermatology",Redwood City,California,94063,United States,RECRUITING,37.48522,-122.23635
NCT04422912,"A Phase 1/2, Open-label, Safety and Dosing Study of Autologous CART Cells (Desmoglein 3 Chimeric Autoantibody Receptor T Cells [DSG3-CAART] or CD19-specific Chimeric Antigen Receptor T Cells [CABA-201]) in Subjects With Active, Pemphigus Vulgaris (RESET-PV)",RECRUITING,"UC Davis, Dept. of Dermatology",Sacramento,California,95816,United States,RECRUITING,38.58157,-121.4944
NCT04422912,"A Phase 1/2, Open-label, Safety and Dosing Study of Autologous CART Cells (Desmoglein 3 Chimeric Autoantibody Receptor T Cells [DSG3-CAART] or CD19-specific Chimeric Antigen Receptor T Cells [CABA-201]) in Subjects With Active, Pemphigus Vulgaris (RESET-PV)",RECRUITING,Yale University,New Haven,Connecticut,06520,United States,RECRUITING,41.30815,-72.92816
NCT04422912,"A Phase 1/2, Open-label, Safety and Dosing Study of Autologous CART Cells (Desmoglein 3 Chimeric Autoantibody Receptor T Cells [DSG3-CAART] or CD19-specific Chimeric Antigen Receptor T Cells [CABA-201]) in Subjects With Active, Pemphigus Vulgaris (RESET-PV)",RECRUITING,Northwestern University,Chicago,Illinois,60611,United States,RECRUITING,41.85003,-87.65005
NCT04422912,"A Phase 1/2, Open-label, Safety and Dosing Study of Autologous CART Cells (Desmoglein 3 Chimeric Autoantibody Receptor T Cells [DSG3-CAART] or CD19-specific Chimeric Antigen Receptor T Cells [CABA-201]) in Subjects With Active, Pemphigus Vulgaris (RESET-PV)",RECRUITING,University of Iowa,Iowa City,Iowa,52242,United States,RECRUITING,41.66113,-91.53017
NCT04422912,"A Phase 1/2, Open-label, Safety and Dosing Study of Autologous CART Cells (Desmoglein 3 Chimeric Autoantibody Receptor T Cells [DSG3-CAART] or CD19-specific Chimeric Antigen Receptor T Cells [CABA-201]) in Subjects With Active, Pemphigus Vulgaris (RESET-PV)",RECRUITING,Brigham and Women's Hospital,Boston,Massachusetts,02115,United States,RECRUITING,42.35843,-71.05977
NCT04422912,"A Phase 1/2, Open-label, Safety and Dosing Study of Autologous CART Cells (Desmoglein 3 Chimeric Autoantibody Receptor T Cells [DSG3-CAART] or CD19-specific Chimeric Antigen Receptor T Cells [CABA-201]) in Subjects With Active, Pemphigus Vulgaris (RESET-PV)",RECRUITING,Mount Sinai - Icahn School of Medicine,New York,New York,10029,United States,WITHDRAWN,40.71427,-74.00597
NCT04422912,"A Phase 1/2, Open-label, Safety and Dosing Study of Autologous CART Cells (Desmoglein 3 Chimeric Autoantibody Receptor T Cells [DSG3-CAART] or CD19-specific Chimeric Antigen Receptor T Cells [CABA-201]) in Subjects With Active, Pemphigus Vulgaris (RESET-PV)",RECRUITING,Columbia University,New York,New York,10032,United States,RECRUITING,40.71427,-74.00597
NCT04422912,"A Phase 1/2, Open-label, Safety and Dosing Study of Autologous CART Cells (Desmoglein 3 Chimeric Autoantibody Receptor T Cells [DSG3-CAART] or CD19-specific Chimeric Antigen Receptor T Cells [CABA-201]) in Subjects With Active, Pemphigus Vulgaris (RESET-PV)",RECRUITING,"University of North Carolina, Department of Dermatology",Chapel Hill,North Carolina,27516,United States,WITHDRAWN,35.9132,-79.05584
NCT04422912,"A Phase 1/2, Open-label, Safety and Dosing Study of Autologous CART Cells (Desmoglein 3 Chimeric Autoantibody Receptor T Cells [DSG3-CAART] or CD19-specific Chimeric Antigen Receptor T Cells [CABA-201]) in Subjects With Active, Pemphigus Vulgaris (RESET-PV)",RECRUITING,University of Pennsylvania,Philadelphia,Pennsylvania,19104,United States,RECRUITING,39.95238,-75.16362
