NCTId,BriefTitle,OverallStatus,Phase,Conditions,Interventions,StartDate,LastUpdatePostDate,EnrollmentCount,Countries,BriefSummary,LeadSponsor,LeadSponsorClass,MinAge,MaxAge,StdAges,PrimaryEndpoints,DiseaseEntities,TrialDesign,DiseaseEntity,LLMOverride,TargetCategory,TargetSource,ProductType,ProductTypeSource,ClassificationConfidence,SponsorType,AgeGroup,ProductName,StartYear,SnapshotDate
NCT06822881,CT1190B in the Treatment of Patients With Moderate to Severe Refractory Systemic Lupus Erythematosus (SLE) or Refractory/Progressive Systemic Sclerosis (SSc),RECRUITING,PHASE1,Systemic Lupus Erythematosus (SLE)|Systemic Sclerosis (SSc),CAR-T Therapy,2025-02-20,2026-03-10,27,China,A Clinical Study Exploring CT1190B in the treatment of patients with moderate to severe refractory systemic lupus erythematosus (SLE) or refractory/progressive systemic sclerosis (SSc),Beijing GoBroad Hospital,OTHER,18 Years,60 Years,ADULT,"The incidence rate and severity of dose limiting toxicity (DLT), adverse events (AE), serious adverse events (SAE), and AESI (adverse events of particular concern)",SLE|SSc,Basket/Multidisease,Basket/Multidisease,False,CAR-T_unspecified,named_product,Autologous,default_autologous_no_allo_markers,low,Academic,Adult,ct1190b,2025.0,2026-04-25
NCT06318533,A Clinical Study of CD19 CAR NK Cells for the Treatment of Relapsed/Refractory B-cell Related Autoimmune Diseases,RECRUITING,EARLY_PHASE1,Autoimmune Diseases,anti-CD19 CAR NK cells,2024-03-13,2025-05-11,15,China,"A single arm, open-label pilot study is designed to determine the safety and effectiveness of anti-CD19 CAR NK cells (KN5501) in patients with relapsed/refractory B-cell related autoimmune diseases.15 patients are planned to be enrolled in the dose-escalation trial (6×10\^9 cells, 9×10\^9 cells). The primary objective of the study is to evaluation of the safety and feasibility of KN5501 for the treatment of relapsed/refractory B-cell related autoimmune diseases. The secondary objective is to evaluate the effectiveness of KN5501 for the treatment of relapsed/refractory B-cell related autoimmune diseases. The exploratory objective is to evaluate expansion, persistence and ability to deplete CD19 positive B cells of KN5501 in patients with relapsed/refractory B-cell related autoimmune diseases.",YANRU WANG,OTHER,18 Years,70 Years,ADULT|OLDER_ADULT,Incidence of Dose Limiting Toxicity (DLTs)|Treatment Emergent Adverse Events（TEAEs）,Basket/Multidisease,Basket/Multidisease,Basket/Multidisease,False,CD19,explicit_marker,Allogeneic/Off-the-shelf,named_product,high,Academic,Adult,kn5501,2024.0,2026-04-25
NCT06373991,A Study to Evaluate the Safety and Efficacy of ATHENA CAR-T in Subjects With Systemic Lupus Erythematosus,NOT_YET_RECRUITING,PHASE1,"Lupus Erythematosus, Systemic",ATHENA CAR-T|Cyclophosphamide|Fludarabine,2024-07-24,2024-06-17,12,China,"The goal of this clinical trial is to test ATHENA CAR-T injection in adults with moderate to severe Systemic Lupus Erythematosus. The main question it aims to answer is:

• To evaluate the safety and tolerability of ATHENA CAR-T.

After screening, participants will be subjected to lymphodepletion regimen. After recovery, participants will be injected with ATHENA CAR-T injection and followed up to 24 months.",EdiGene Inc.,INDUSTRY,18 Years,65 Years,ADULT|OLDER_ADULT,"Dose Limiting Toxicity|Frequency of AEs, SAEs, lab abnormalities, AESIs",SLE,Single disease,SLE,False,CD19,named_product,Allogeneic/Off-the-shelf,named_product,high,Industry,Adult,athena car-t,2024.0,2026-04-25
NCT07303790,This is an Early Exploratory Study to Assess the Tolerability and Safety of GC012F in Patients With Multiple Sclerosis,RECRUITING,EARLY_PHASE1,Multiple Sclerosis,GC012F CAR-T Cell Injection,2026-01-16,2026-01-21,15,China,This is an early exploratory study to assess the tolerability and safety of GC012F CAR T cell injection in Multiple Sclerosis patients.,Daishi Tian,OTHER,18 Years,,ADULT|OLDER_ADULT,Dose-Limiting Toxicity (DLT) Rate|Adverse Events （AEs）Rate,Other immune-mediated,Single disease,Other immune-mediated,False,CD19/BCMA dual,named_product,Autologous,named_product,high,Academic,Adult,gc012f,2026.0,2026-04-25
NCT06585514,Anti-CD19 Chimeric Antigen Receptor T Cells for Refractory Systemic Lupus Erythematosus,RECRUITING,PHASE1|PHASE2,Systemic Lupus Erythematosus (SLE)|Lupus Nephritis (LN),CD19 CAR-T cells,2024-10-17,2026-03-10,18,China,The goal of this study is to evaluate the safety and efficacy of CD19 CAR T cells in the treatment of Systemic lupus erythematosus (SLE).,Beijing GoBroad Hospital,OTHER,3 Years,65 Years,CHILD|ADULT|OLDER_ADULT,Phase I: Dose-limiting toxicity (DLT)|Phase I: Adverse events (AEs)|Phase II: Objective response rate (ORR),SLE,Single disease,SLE,False,CD19,explicit_marker,Autologous,default_autologous_no_allo_markers,medium,Academic,Both,,2024.0,2026-04-25
NCT07265206,A Study of HY001N in the Treatment of Relapsed or Refractory Neurological Autoimmune Diseases,NOT_YET_RECRUITING,EARLY_PHASE1,Neurological Autoimmune Diseases,HY001N cell injection,2025-12-30,2025-12-04,15,,"This study is a single-arm, open-label, non-randomized clinical trial aimed at evaluating the safety, tolerability and preliminary efficacy of HY001N cell injection in the treatment of patients with relapsed/refractory Neurological Autoimmune Diseases.",Juventas Cell Therapy Ltd.,INDUSTRY,18 Years,75 Years,ADULT|OLDER_ADULT,Number of participants with dose-limiting toxicities (DLTs)|Number of participants with adverse events (AEs)/serious adverse events (SAEs),Other immune-mediated,Single disease,Other immune-mediated,False,Other_or_unknown,unknown,Unclear,no_signal,medium,Industry,Adult,,2025.0,2026-04-25
NCT07341828,A Study of C-CAR168 in the Treatment of Central Nervous System Autoimmune Diseases Refractory to Standard Therapy,NOT_YET_RECRUITING,PHASE1,Multiple Sclerosis (MS)|Neuromyelitis Optica Spectrum Disorders (NMOSD)|Autoimmune Encephalitis|Stiff Person Syndrome,CD20/BCMA-directed CAR-T cells,,2026-01-15,15,,"This is an investigator-initiated, single-center, open-label study of C-CAR168, an autologous bi-specific CAR-T therapy targeting CD20 and BCMA, for the treatment of adult patients with central nervous system autoimmune diseases refractory to standard therapy",Huashan Hospital,OTHER,18 Years,70 Years,ADULT|OLDER_ADULT,Incidence and severity of Adverse Events [Safety and Tolerability]|The subsequent recommended dose of C-CAR168 in patients with central nervous system autoimmune diseases refractory to standard therapy,Other immune-mediated,Single disease,Other immune-mediated,False,BCMA,explicit_marker,Autologous,explicit_autologous,high,Academic,Adult,,,2026-04-25
NCT06297408,Relma-cel for Moderate to Severe Active Systemic Lupus Erythematosus,NOT_YET_RECRUITING,PHASE1,Systemic Lupus Erythematosus,Relma-cel,,2024-03-07,24,,To assess the safety tolerability pharmacokinetics and pharmacodynamics of Relma-cel in moderate or severe active systemic lupus erythematosus (SLE) subjects in China.,"Shanghai Ming Ju Biotechnology Co., Ltd.",INDUSTRY,18 Years,70 Years,ADULT|OLDER_ADULT,DLT rate|determine RP2D,SLE,Single disease,SLE,False,CD19,named_product,Autologous,named_product,high,Industry,Adult,relma-cel,,2026-04-25
NCT04561557,Safety and Efficacy of CT103A Cells for Relapsed/Refractory Antibody-associated Inflammatory Diseases of the Nervous System,RECRUITING,EARLY_PHASE1,Autoimmune Diseases|Autoimmune Diseases of the Nervous System|Neuromyelitis Optica Spectrum Disorder|Myasthenia Gravis|Chronic Inflammatory Demyelinating Polyradiculoneuropathy|Idiopathic Inflammatory Myopathies|Multiple Sclerosis|Autoimmune Encephalitis|Myelin Oligodendrocyte Glycoprotein Antibody-Associated Disease (MOGAD)|POEMS Syndrome,CT103A cells|Cyclophosphamide and fludarabine,2020-09-22,2024-10-30,36,China,"Antibody-mediated inflammatory diseases of the nervous system (also known as autoimmune diseases of the nervous system) are autoimmune diseases in which autoimmune cells and immune molecules attack the nervous system as the main pathogenic mechanism. In the immune response, pathogenic antibodies acting on autoantigens of the nervous system are collectively referred to as autoantibodies of the nervous system, and antibody-mediated inflammatory diseases of the nervous system can occur in the central nervous system, peripheral nervous system, and neuromuscular junctions, and muscles. In this study, we will recruit eight kinds of autoimmune diseases of nervous system including Neuromyelitis Optica Spectrum Disorder (NMOSD), Myasthenia Gravis (MG), Chronic Inflammatory Demyelinating Polyradiculoneuropathy (CIDP), idiopathic inflammatory myopathyand (IIM), multiple sclerosis (MS), autoimmune encephalitis (AE), Myelin Oligodendrocyte Glycoprotein Antibody-Associated Disease (MOGAD) and POEMS Syndrome. B-cell maturation antigen (BCMA) is expressed on the surface of plasma cells, thus making it an ideal target for targeted therapies. Chimeric antigen receptor (CAR) T cells against BCMA offers another potential therapeutic option to eliminate plasma cells in patients with neurological autoimmune diseases driven by abnormal antibody who still suffer recurrent attacks from conventional treatments. In the current study, the safety and efficacy of a novel CAR-T cell therapy using CT103A cells, are evaluated in patients with relapsed/refractory antibody-mediated idiopathic inflammatory diseases.",Tongji Hospital,OTHER,18 Years,75 Years,ADULT|OLDER_ADULT,"Types and incidence of dose-limiting toxicity (DLT) after CT103A cells infusion|Incidence and severity of AEs, including changes in vital signs, physical examination, laboratory parameters, Electrocardiograms and Echocardiograms.",IIM,Single disease,IIM,False,BCMA,explicit_marker,Autologous,named_product,high,Academic,Adult,ct103a,2020.0,2026-04-25
NCT07355972,"Safety, Efficacy and Cellular Metabolic Dynamics of CT1195E in Patients With Refractory / Progressive SSC",RECRUITING,EARLY_PHASE1,SSc-Systemic Sclerosis,CAR-T Therapy,2026-01-16,2026-01-21,12,China,"This study is a single arm, open label, exploratory dose escalation clinical study to evaluate the safety, efficacy, and cellular metabolic dynamics of ct1195e cells in patients with SSc.

The study was divided into dose escalation phase and dose expansion phase.","Union Hospital, Tongji Medical College, Huazhong University of Science and Technology",OTHER,18 Years,60 Years,ADULT,The maximum tolerable dose (MTD) and / or dose range of CT1195E were evaluated|severity of dose limiting toxicity (DLT)|severity of adverse events (AES)|Incidence of adverse events (AES)|Incidence of dose limiting toxicity (DLT),SSc,Single disease,SSc,False,CD19/CD20 dual,named_product,Allogeneic/Off-the-shelf,named_product,high,Academic,Adult,ct1192,2026.0,2026-04-25
