# Table 2A: Top 10 sponsors (by trial count)
# Snapshot: 2026-04-25
LeadSponsor,n_trials,sectors,targets,modalities
Zhejiang University,16,Academic,"CAR-T_unspecified,CD19,CD19/BAFF dual,CD19/BCMA dual","Allogeneic/Off-the-shelf,Autologous"
"Union Hospital, Tongji Medical College, Huazhong University of Science and Technology",14,Academic,"BCMA,CAR-T_unspecified,CD19,CD19/BCMA dual","Allogeneic/Off-the-shelf,Autologous"
The Children's Hospital of Zhejiang University School of Medicine,11,Academic,"BCMA/CD70 dual,CD19,CD19/BCMA dual","Allogeneic/Off-the-shelf,Autologous"
"Chongqing Precision Biotech Co., Ltd",8,Industry,"BCMA/CD70 dual,CD19","Allogeneic/Off-the-shelf,Autologous"
Novartis Pharmaceuticals,8,Industry,CD19,Autologous
"Institute of Hematology & Blood Diseases Hospital, China",7,Academic,"CD19,CD19/BCMA dual,CD7","Allogeneic/Off-the-shelf,Autologous"
Cabaletta Bio,7,Industry,"CAAR-T,CD19",Autologous
Kyverna Therapeutics,7,Industry,"CD19,CD19/CD20 dual",Autologous
Beijing GoBroad Hospital,7,Academic,"CAR-T_unspecified,CD19,CD19/BCMA dual","Allogeneic/Off-the-shelf,Autologous"
Beijing Boren Hospital,6,Academic,"CAR-T_unspecified,CAR-Treg,CD19,CD19/BCMA dual","Allogeneic/Off-the-shelf,Autologous"
