# Disease coverage — dedicated single-disease trials vs any-mention (single + basket platforms naming the indication)
# Snapshot: 2026-04-25 | Source: pipeline DiseaseEntities (pipe-delimited)
# n_dedicated = trials whose primary DiseaseEntity is X
# n_any_mention = trials with X in DiseaseEntities (union of single-disease and basket-mention)
# n_basket_only = n_any_mention - n_dedicated
DiseaseEntity,n_dedicated,n_any_mention,n_basket_only,ratio
SLE,79,141,62,1.78
SSc,9,69,60,7.67
IIM,11,52,41,4.73
Sjogren,1,25,24,25.0
CTD_other,2,4,2,2.0
IgG4-RD,2,3,1,1.5
RA,3,17,14,5.67
AAV,5,22,17,4.4
Behcet,0,1,1,
Other immune-mediated,73,73,0,1.0
cGVHD,1,1,0,1.0
Basket/Multidisease,98,29,0,0.3
